"Date","Price","Open","High","Low","Vol.","Change %"
"08/12/2024","31,111.80","31,073.50","31,249.50","30,925.75","","-0.17%"
"08/09/2024","31,164.40","31,219.55","31,221.55","31,066.25","","1.09%"
"08/08/2024","30,827.25","31,119.00","31,145.60","30,778.15","","-1.09%"
"08/07/2024","31,167.10","31,075.45","31,229.40","31,027.65","","1.50%"
"08/06/2024","30,706.35","30,948.80","31,207.75","30,663.10","","-0.28%"
"08/05/2024","30,792.45","30,976.65","31,151.20","30,560.85","","-2.52%"
"08/02/2024","31,587.15","31,743.20","31,790.15","31,551.90","","-1.44%"
"08/01/2024","32,047.65","32,090.20","32,137.30","31,961.35","","0.34%"
"07/31/2024","31,940.45","31,834.35","31,989.30","31,756.90","","0.57%"
"07/30/2024","31,760.90","31,737.65","31,897.70","31,673.95","","0.11%"
"07/29/2024","31,724.75","31,869.55","31,890.35","31,631.45","","0.06%"
"07/26/2024","31,705.45","31,120.10","31,731.35","31,073.45","","2.19%"
"07/25/2024","31,025.05","30,775.30","31,050.30","30,733.10","","0.19%"
"07/24/2024","30,966.55","30,968.95","31,042.45","30,862.60","","-0.11%"
"07/23/2024","31,001.90","31,047.60","31,068.60","30,317.70","","0.12%"
"07/22/2024","30,963.60","30,793.30","31,069.60","30,707.30","","0.04%"
"07/19/2024","30,950.30","31,464.35","31,470.15","30,927.95","","-1.58%"
"07/18/2024","31,447.45","31,141.35","31,482.35","31,054.10","","0.71%"
"07/16/2024","31,226.00","31,201.75","31,279.85","31,173.25","","0.23%"
"07/15/2024","31,153.65","31,087.85","31,201.55","31,003.80","","0.58%"
"07/12/2024","30,973.30","30,876.30","31,044.45","30,813.80","","0.70%"
"07/11/2024","30,759.25","30,870.10","30,876.65","30,627.75","","0.01%"
"07/10/2024","30,757.25","30,851.50","30,859.75","30,403.45","","-0.15%"
"07/09/2024","30,802.10","30,726.10","30,818.65","30,633.00","","0.60%"
"07/08/2024","30,619.25","30,709.35","30,712.05","30,525.05","","-0.21%"
"07/05/2024","30,683.75","30,504.70","30,717.70","30,476.90","","0.58%"
"07/04/2024","30,507.65","30,590.35","30,637.25","30,476.10","","0.02%"
"07/03/2024","30,502.65","30,424.15","30,531.30","30,334.35","","0.66%"
"07/02/2024","30,302.10","30,466.95","30,476.60","30,196.35","","-0.29%"
"07/01/2024","30,390.05","30,253.75","30,414.15","30,251.40","","0.44%"
"06/28/2024","30,256.40","30,262.35","30,382.60","30,224.00","","0.12%"
"06/27/2024","30,219.90","29,949.05","30,273.05","29,891.25","","0.92%"
"06/26/2024","29,943.65","29,933.80","30,009.20","29,812.40","","0.11%"
"06/25/2024","29,911.80","29,903.10","29,935.10","29,785.75","","0.22%"
"06/24/2024","29,846.05","29,669.20","29,866.85","29,561.50","","0.21%"
"06/21/2024","29,784.70","29,977.20","30,025.00","29,716.40","","-0.30%"
"06/20/2024","29,873.20","29,920.00","29,965.25","29,733.70","","0.08%"
"06/19/2024","29,850.75","30,176.15","30,184.95","29,802.30","","-0.84%"
"06/18/2024","30,102.40","30,120.35","30,157.60","30,054.25","","0.34%"
"06/14/2024","29,999.05","29,972.15","30,031.95","29,844.70","","0.33%"
"06/13/2024","29,901.15","29,942.60","29,943.75","29,774.60","","0.56%"
"06/12/2024","29,734.55","29,749.25","29,855.55","29,691.15","","0.35%"
"06/11/2024","29,632.05","29,657.25","29,793.50","29,544.50","","0.20%"
"06/10/2024","29,571.80","29,623.90","29,711.70","29,480.75","","0.15%"
"06/07/2024","29,526.80","28,943.75","29,561.65","28,906.75","","2.06%"
"06/06/2024","28,930.90","28,904.55","29,070.55","28,689.75","","0.77%"
"06/05/2024","28,709.70","27,989.10","28,769.35","27,518.05","","3.62%"
"06/04/2024","27,706.85","29,263.85","29,263.85","26,785.05","","-5.50%"
"06/03/2024","29,320.85","29,496.70","29,498.55","29,211.35","","2.90%"
"05/31/2024","28,493.30","28,590.15","28,662.30","28,400.25","","0.12%"
"05/30/2024","28,459.85","28,806.20","28,876.55","28,354.95","","-1.52%"
"05/29/2024","28,899.90","28,934.25","29,036.40","28,870.10","","-0.50%"
"05/28/2024","29,046.30","29,111.05","29,144.05","28,989.95","","0.00%"
"05/27/2024","29,045.45","29,245.75","29,251.15","28,991.60","","-0.23%"
"05/24/2024","29,112.10","29,150.25","29,260.35","29,075.10","","-0.25%"
"05/23/2024","29,184.95","28,800.70","29,214.05","28,681.70","","1.43%"
"05/22/2024","28,774.40","28,809.15","28,809.15","28,578.50","","0.23%"
"05/21/2024","28,708.60","28,458.75","28,754.30","28,458.75","","0.62%"
"05/18/2024","28,531.60","28,531.60","28,531.60","28,531.60","","0.19%"
"05/17/2024","28,476.85","28,436.50","28,528.20","28,353.20","","0.26%"
"05/16/2024","28,402.35","28,311.05","28,442.85","27,914.45","","0.82%"
"05/15/2024","28,170.10","28,225.45","28,309.65","28,090.50","","0.07%"
"05/14/2024","28,151.65","28,015.85","28,213.70","27,948.45","","0.67%"
"05/13/2024","27,963.85","27,913.10","28,001.95","27,576.25","","0.23%"
"05/10/2024","27,898.65","27,771.95","27,969.50","27,701.90","","0.77%"
"05/09/2024","27,684.25","28,135.75","28,209.25","27,646.50","","-1.68%"
"05/08/2024","28,157.95","28,040.80","28,228.45","27,942.10","","0.15%"
"05/07/2024","28,116.70","28,420.00","28,426.15","27,996.80","","-0.74%"
"05/06/2024","28,327.55","28,555.65","28,565.15","28,197.65","","-0.31%"
"05/03/2024","28,416.10","28,741.65","28,775.55","28,272.40","","-0.50%"
"05/02/2024","28,558.15","28,431.15","28,633.80","28,422.00","","0.39%"
"04/30/2024","28,447.45","28,502.25","28,626.10","28,409.40","","0.09%"
"04/29/2024","28,421.45","28,433.60","28,444.45","28,239.30","","0.38%"
"04/26/2024","28,314.20","28,538.35","28,546.05","28,279.60","","-0.50%"
"04/25/2024","28,457.80","28,162.20","28,491.40","28,066.20","","0.89%"
"04/24/2024","28,206.70","28,164.15","28,274.10","28,145.60","","0.31%"
"04/23/2024","28,120.20","28,169.45","28,189.80","28,088.00","","0.21%"
"04/22/2024","28,060.35","27,970.00","28,107.05","27,877.75","","1.07%"
"04/19/2024","27,762.95","27,483.85","27,819.90","27,302.75","","0.41%"
"04/18/2024","27,648.65","28,037.15","28,132.55","27,597.75","","-0.91%"
